Year,Class A (Stock),Class B (Stock),Class C (Stock),Class D (Stock),Class E (Stock),Total (Stock)
1985,247055,242030,55605,30920,16555,592165
1986,263945,253355,57965,32435,17375,625075
1987,274725,270935,60700,33650,17835,657845
1988,285635,287215,64240,35995,18740,691825
1989,291975,308350,68265,37510,19540,725640
1990,298450,324440,70670,38710,19900,752170
1991,304490,342830,75380,39795,20550,783045
1992,312293,354346,77419,40339,20676,805073
1993,320003,368856,80073,40824,20811,830567
1994,331410,387931,81977,42543,20782,864643
1995,335008,399768,85802,44200,20899,885677
1996,340594,412440,91144,45623,21439,911240
1997,347926,428911,93496,47646,22149,940128
1998,348187,446920,96750,48573,22826,963256
1999,354000,468513,102180,49586,23354,997633
2000,358723,483877,107699,52082,23724,1026105
2001,361243,501137,110624,53646,24112,1050762
2002,367870,526741,118417,55351,25068,1093447
2003,343639,478438,112931,51185,21782,1007975
2004,346005,497599,115963,53336,22068,1034971
2005,348951,509066,118903,53813,22513,1053246
2006,350455,519498,121404,54778,22763,1068898
2007,351595,526540,122717,55336,23055,1079243
2008,352064,529797,124651,56142,23268,1085922
2009,351751,532083,125256,57514,24010,1090614
2010,351879,538439,129921,58521,24149,1102909
2011,352056,542381,132600,59156,24368,1110561
2012,353023,545791,133563,60658,24897,1117932
2013,354077,548666,134494,61218,25178,1123633
2014,354926,555833,138437,61975,25259,1136430
2015,355969,560064,140300,63370,25751,1145454
2016,359725,566338,141559,64719,26424,1158765
2017,366520,572769,142878,65640,26821,1174628
2018,372678,580630,146108,67343,27212,1193971
2019,378819,584309,147520,68265,27531,1206444
2020,387593,591556,149969,68959,27771,1225848
2021,392356,596779,151871,69040,27949,1237995
2022,401220,603284,153769,70016,28433,1256722
