year,GDP,Year_x,All age group population,Year_y,Class A Hong Kong,Class A Kowloon,Class A New Territories,Class B Hong Kong,Class B Kowloon,Class B New Territories,Class C Hong Kong,Class C Kowloon,Class C New Territories,Class D Hong Kong,Class D Kowloon,Class D New Territories,Class E Hong Kong,Class E Kowloon,Class E New Territories,Class A Hong Kong difference,Year_vacancy,Class A (Vacancy) - Unit,Class A (Vacancy) - %,Class B (Vacancy) - Unit,Class B (Vacancy) - %,Class C (Vacancy) - Unit,Class C (Vacancy) - %,Class D (Vacancy) - Unit,Class D (Vacancy) - %,Class E (Vacancy) - Unit,Class E (Vacancy) - %,Total (Vacancy) - Unit,Total (Vacancy) - %,Year_stock,Class A (Stock),Class B (Stock),Class C (Stock),Class D (Stock),Class E (Stock),Total (Stock),Year,Take Up (SA Less than 100 m2),Take up (SA 100 m2 or above),Take up (Total)
1999,1285946,1999,6606.5,1999.0,193.0,173.0,133.0,197.0,157.0,116.0,248.0,183.0,140.0,274.0,187.0,177.0,307.0,186.0,175.0,0,1999.0,14837.0,0.042,31624.0,0.067,8287.0,0.081,2974.0,0.06,1417.0,0.061,59139.0,0.059,1999.0,354000.0,468513.0,102180.0,49586.0,23354.0,997633.0,1999.0,17070.0,2490.0,19560.0
2000,1337501,2000,6665.0,2000.0,192.0,166.0,130.0,198.0,149.0,117.0,252.0,172.0,144.0,276.0,195.0,184.0,316.0,197.0,174.0,0,2000.0,13454.0,0.038,26574.0,0.055,9273.0,0.086,4202.0,0.081,1447.0,0.061,54950.0,0.054,2000.0,358723.0,483877.0,107699.0,52082.0,23724.0,1026105.0,2000.0,28240.0,940.0,29180.0
2001,1321142,2001,6714.3,2001.0,187.0,153.0,120.0,191.0,146.0,112.0,254.0,184.0,141.0,282.0,233.0,177.0,328.0,207.0,186.0,0,2001.0,14181.0,0.039,30786.0,0.061,9798.0,0.089,3819.0,0.071,1823.0,0.076,60407.0,0.057,2001.0,361243.0,501137.0,110624.0,53646.0,24112.0,1050762.0,2001.0,17220.0,2100.0,19320.0
2002,1297341,2002,6744.1,2002.0,165.0,134.0,105.0,168.0,132.0,101.0,225.0,164.0,122.0,247.0,196.0,156.0,305.0,190.0,169.0,0,2002.0,17347.0,0.047,36154.0,0.069,13188.0,0.111,4937.0,0.089,2574.0,0.103,74200.0,0.068,2002.0,367870.0,526741.0,118417.0,55351.0,25068.0,1093447.0,2002.0,19830.0,100.0,19930.0
2003,1256669,2003,6730.8,2003.0,152.0,122.0,93.0,147.0,120.0,88.0,191.0,157.0,103.0,216.0,172.0,133.0,261.0,182.0,146.0,0,2003.0,15391.0,0.045,37319.0,0.078,10269.0,0.091,3480.0,0.068,2322.0,0.107,68781.0,0.068,2003.0,343639.0,478438.0,112931.0,51185.0,21782.0,1007975.0,2003.0,20080.0,2410.0,22490.0
2004,1316949,2004,6783.5,2004.0,167.0,125.0,99.0,168.0,134.0,95.0,213.0,171.0,114.0,234.0,188.0,151.0,275.0,159.0,165.0,1,2004.0,12445.0,0.036,34631.0,0.07,9320.0,0.08,5504.0,0.103,2348.0,0.106,64248.0,0.062,2004.0,346005.0,497599.0,115963.0,53336.0,22068.0,1034971.0,2004.0,30890.0,510.0,31400.0
2005,1412125,2005,6813.2,2005.0,188.0,140.0,106.0,184.0,145.0,101.0,243.0,193.0,122.0,263.0,205.0,161.0,318.0,201.0,176.0,1,2005.0,10661.0,0.031,34677.0,0.068,10666.0,0.09,4865.0,0.09,2670.0,0.119,63539.0,0.06,2005.0,348951.0,509066.0,118903.0,53813.0,22513.0,1053246.0,2005.0,16150.0,1300.0,17450.0
2006,1503351,2006,6857.1,2006.0,216.0,154.0,113.0,207.0,155.0,107.0,258.0,198.0,124.0,298.0,220.0,171.0,355.0,197.0,189.0,1,2006.0,11117.0,0.032,36201.0,0.07,8875.0,0.073,3499.0,0.064,2978.0,0.131,62670.0,0.059,2006.0,350455.0,519498.0,121404.0,54778.0,22763.0,1068898.0,2006.0,14040.0,2360.0,16400.0
2007,1650756,2007,6916.3,2007.0,246.0,170.0,127.0,237.0,170.0,118.0,289.0,220.0,144.0,335.0,240.0,195.0,396.0,228.0,225.0,1,2007.0,10228.0,0.029,27857.0,0.053,7838.0,0.064,4144.0,0.075,2402.0,0.104,52469.0,0.049,2007.0,351595.0,526540.0,122717.0,55336.0,23055.0,1079243.0,2007.0,19300.0,550.0,19850.0
2008,1707487,2008,6957.8,2008.0,278.0,198.0,146.0,271.0,202.0,139.0,336.0,264.0,170.0,397.0,291.0,238.0,473.0,273.0,261.0,1,2008.0,9412.0,0.027,27740.0,0.052,8795.0,0.071,4407.0,0.078,2584.0,0.111,52938.0,0.049,2008.0,352064.0,529797.0,124651.0,56142.0,23268.0,1085922.0,2008.0,6290.0,600.0,6890.0
